                                                                    VIRUS STRAIN	               CLADE
                                                    A/goose/Hong_Kong/739.2/2002	                   1
                                                    A/duck/Viet_Nam/TG-007A/2004	                   1
                                                       A/chicken/Viet_Nam/9/2005	                   1
                                         A/common_myna/Thailand/VSMU-10-BRM/2005	                   1
                                             A/tiger/Suphanburi/Thailand/Ti-1/04	                   1
                                               A/chicken/Thailand/ICRC-7356/2010	                   1
                                               A/Mynas/Ranong/Thailand/CU-209/04	                   1
                                                  A/chicken/Thailand/PC-340/2008	                   1
                                           A/chicken/Sukhothai/NIAH6-3-0018/2005	                   1
                                                        A/chicken/Vietnam/P78/05	                   1
                                      A/quail/Thailand/Nakhon_Pathom/QA-161/2005	                   1
                                                      A/duck/Vietnam/NCVD05/2005	                   1
                                                     A/condor/Guangdong/139/2003	                   1
                                          A/leopard/Suphanburi/Thailand/Leo-1/04	                   1
                                     A/open-billed_stork/Nakhonsawan/BBD3009M/05	                   1
                                                A/chicken/Kohn_Kaen/NIAH330/2004	                   1
                                     A/open-billed_stork/Nakhonsawan/BBD4211M/05	                   1
                                                       A/Viet_Nam/JPHN30321/2005	                   1
                                             A/chicken/Samutprakan/NIAH6604/2004	                   1
                                     A/open-billed_stork/Nakhonsawan/BBA2811M/05	                   1
                                     A/open-billed_stork/Nakhonsawan/BBD1621J/05	                   1
                                          A/sparrow/Phang-Nga/Thailand/CU-203/04	                   1
                              A/chicken/Thailand/Kamphaengphet/NIAH6-3-0006/2005	                   1
                                                    A/chicken/Thailand/CH-2/2004	                   1
                                                       A/chicken/Vietnam/23/2004	                   1
                                                      A/duck/Vietnam/NCVD08/2005	                   1
                                                      A/chicken/Viet_Nam/11/2005	                   1
                                  A/chicken/Thailand/Sukhothai/NIAH6-3-0013/2005	                   1
                                     A/open-billed_stork/Nakhonsawan/BBD3509M/05	                   1
                                             A/pigeon/Thailand/Uttaradit-01/2004	                   1
                                                            A/Viet_Nam/JP14/2005	                   1
                                              A/chicken/Bangkok/Thailand/CU-3/04	                   1
                                      A/Silver_Pheasant/Thailand/VSMU-1-CBI/2005	                   1
                                           A/chicken/Nakhon_Sawan/NIAH01502/2004	                   1
                                                            A/Thailand/NBL1/2006	                   1
                                   A/open-billed_stork/Nakhonsawan/BBA0627May/05	                   1
                                              A/chicken/Thailand/vsmu-3-BKK/2004	                   1
                                                      A/quail/Thailand/CU-330/06	                   1
                                              A/pigeon/Thailand/VSMU-13-KRI/2005	                   1
                                                           A/duck/Vietnam/1/2005	                   1
                                                        A/chicken/Vietnam/P22/05	                   1
                                                         A/Vietnam/UT3040II/2004	                   1
                                                      A/chicken/Vietnam/925/2004	                   1
                                       A/openbill_stork/Thailand/VSMU-4-NSN/2004	                   1
                                                        A/Thailand/2_SP-33_/2004	                   1
                                                     A/chicken/Vietnam/949B/2004	                   1
                                                        A/chicken/Vietnam/P41/05	                   1
                                              A/Duck/Vietnam/Soc_Trang_680G/2005	                   1
                                             A/chicken/Sukhothai/NIAH114843/2008	                   1
                                                  A/chicken/Kalasin/NIAH317/2004	                   1
                                                         A/duck/Viet_Nam/18/2005	                   1
                              A/chicken/Thailand/Kamphaengphet/NIAH6-3-0008/2005	                   1
                                                            A/Viet_Nam/1203/2004	                   1
                                                       A/chicken/Viet_Nam/8/2005	                   1
                                      A/open-bill_stork/Thailand/VSMU-2-NSN/2004	                   1
                                                       A/duck/Cambodia/D3KP/2006	                   1
                                                      A/chicken/Vietnam/933/2004	                   1
                                                   A/chicken/Vietnam/NCVD12/2005	                   1
                                                    A/chicken/Phichit/NIAH1/2006	                   1
                                         A/little_grebe/Thailand/Phichit-01/2004	                   1
                                                     A/chicken/Suphanburi/1/2004	                   1
                                                         A/Viet_Nam/HN30408/2005	                   1
                                        A/tree_sparrow/Thailand/VSMU-16-RBR/2005	                   1
                                                       A/chicken/Viet_Nam/6/2005	                   1
                                                         A/duck/Angthong/72/2004	                   1
                                              A/chicken/Suphanburi/NIAH7618/2004	                   1
                                               A/Duck/Vietnam/Hau_Giang680F/2005	                   1
                                   A/open-billed_stork/Nakhonsawan/BBD0404F/2004	                   1
                                                       A/Thailand/4_SP-528_/2004	                   1
                                      A/tree_sparrow/Ratchaburi/VSMU-16-RBR/2005	                   1
                                   A/open-billed_stork/Nakhonsawan/BBA3011M/2005	                   1
                                       A/chicken/Kamphaengphet/NIAH6-3-0011/2005	                   1
                                        A/chicken/Thailand/Nontaburi/CK-162/2005	                   1
                                       A/openbill_stork/Thailand/VSMU-6-BKK/2004	                   1
                                                              A/Hanoi/30408/2005	                   1
                                                           A/Vietnam/UT3030/2003	                   1
                                                        A/duck/Vietnam/5004/2005	                   1
                                               A/chicken/Thailand/ICRC-V143/2007	                   1
                                                   A/chicken/Vietnam/NCVD09/2005	                   1
                                              A/Duck/Vietnam/Soc_Trang_680C/2005	                   1
                                                   A/chicken/Vietnam/NCVD10/2005	                   1
                                                    A/chicken/Vietnam/DT171/2004	                   1
                                                            A/Hong_Kong/213/2003	                   1
                              A/chicken/Thailand/Kamphaengphet/NIAH6-3-0009/2005	                   1
                                                  A/chicken/Cambodia/047LC3/2005	                   1
                                                  A/duck/Viet_Nam/NCVDCDC14/2005	                   1
                                                         A/Vietnam/UT3028II/2003	                   1
                                                A/chicken/Thailand/ICRC-195/2007	                   1
                                            A/chicken/Uthaithani/NIAH115067/2008	                   1
                                                              A/Thailand/16/2004	                   1
                                                      A/quail/Thailand/CU-332/06	                   1
                                                         A/cat/Thailand/KU-02/04	                   1
                                         A/open-billed_stork/Bangkok/LBD0511F/04	                   1
                                                A/chicken/Thailand/ICRC-213/2007	                   1
                                                          A/Cambodia/408008/2005	                   1
                                                     A/duck/Ang_Thong/71_2_/2004	                   1
                                                  A/chicken/Thailand/PC-168/2006	                   1
                                                    A/duck/PhangNga/NIAH181/2004	                   1
                                              A/chicken/NaraThiwat/NIAH1703/2004	                   1
                                       A/openbill_stork/Thailand/VSMU-5-NSN/2004	                   1
                                     A/open-billed_stork/Nakhonsawan/BBD1221J/05	                   1
                                     A/open-billed_stork/Nakhonsawan/BBD1821J/05	                   1
                                                A/quail/Thailand/Phichit-01/2004	                   1
                                        A/tree_sparrow/Thailand/VSMU-14-KRI/2005	                   1
                                             A/quail/Nakhon_Pathom/NIAH7562/2005	                   1
                                          A/duck/Kamphaengphet/NIAH6-2-0043/2004	                   1
